15-01-2023,10:30:00,deiv,650,bienvenida,650
16-01-2023,12:45:00,deiv,850,deposito:tarjeta,1500
18-01-2023,09:15:00,deiv,1000,deposito:paypal,2500
10-11-2022,14:20:00,aimi,420,bienvenida,420
11-11-2022,16:30:00,aimi,1000,deposito:transferencia,1420
13-11-2022,18:50:00,aimi,2780,deposito:tarjeta,4200
20-03-2023,11:10:00,cesi,100,bienvenida,100
21-03-2023,13:25:00,cesi,600,deposito:paypal,700
22-03-2023,15:35:00,cesi,3000,deposito:tarjeta,3700
30-06-2021,10:00:00,juan,250,bienvenida,250
01-07-2021,12:45:00,juan,400,deposito:paypal,650
02-07-2021,15:00:00,juan,1150,deposito:transferencia,1800
05-05-2022,09:20:00,marco,900,bienvenida,900
06-05-2022,10:40:00,marco,2000,deposito:paypal,2900
07-05-2022,12:00:00,marco,2700,deposito:tarjeta,5600
25-07-2023,08:10:00,ana,300,bienvenida,300
26-07-2023,11:15:00,ana,900,deposito:transferencia,1200
27-07-2023,13:20:00,ana,2000,deposito:tarjeta,3200
14-09-2020,10:30:00,luis,600,bienvenida,600
15-09-2020,12:00:00,luis,400,deposito:paypal,1000
16-09-2020,14:30:00,luis,500,deposito:tarjeta,1500
21-04-2021,09:00:00,maria,450,bienvenida,450
22-04-2021,10:20:00,maria,2050,deposito:paypal,2500
23-04-2021,12:10:00,maria,2000,deposito:transferencia,4500
